iter	Accuracy	Logloss
0	0.7600385703	0.6520882906
1	0.8008816031	0.6323877237
2	0.8468902816	0.6033761013
3	0.8942075893	0.5744624085
4	0.8897306976	0.5508892947
5	0.9144569179	0.52137569
6	0.918589434	0.5106450268
7	0.9296094769	0.4895784366
8	0.9390453884	0.478271327
9	0.9309869822	0.4675108679
10	0.9429712786	0.4521351397
11	0.952820442	0.4333503517
12	0.9687306286	0.4194392726
13	0.9793374196	0.4005276006
14	0.9834699357	0.3820999136
15	0.9820924303	0.3700288333
16	0.9820924303	0.3573026081
17	0.9903574625	0.3428041111
18	0.9876024518	0.3320828982
19	0.9917349678	0.3206444332
20	0.9931124732	0.3103984296
21	0.9889799571	0.3008786821
22	0.9972449893	0.2885907091
23	0.9986224946	0.2787570302
24	0.9986224946	0.2733334152
25	0.9972449893	0.2625188022
26	0.9972449893	0.2587627412
27	0.9986224946	0.2522958928
28	0.9986224946	0.2453910465
29	0.9986224946	0.2364638663
30	0.9986224946	0.2331911527
31	1	0.2276662521
32	1	0.2228561814
33	1	0.2194583063
34	1	0.2118119189
35	1	0.2049634895
36	1	0.2012732635
37	1	0.1986319595
38	1	0.1941315527
39	1	0.1936312801
40	1	0.1871322734
41	1	0.1832694562
42	1	0.180045037
43	1	0.1746423845
44	1	0.1706827945
45	1	0.1670781953
46	1	0.162648913
47	1	0.1595892866
48	1	0.1552437761
49	1	0.1516391937
50	1	0.1482099558
51	1	0.1438442391
52	1	0.1385708928
53	1	0.1347325031
54	1	0.1308488834
55	1	0.1269751144
56	1	0.1254097457
57	1	0.1221413354
58	1	0.1196385971
59	1	0.1162876862
60	1	0.1133350806
61	1	0.1108727697
62	1	0.1078318035
63	1	0.1051858815
64	1	0.1026978291
65	1	0.1008758065
66	1	0.09909677193
67	1	0.09734712198
68	1	0.09447117203
69	1	0.09269845188
70	1	0.0909218127
71	1	0.08827548133
72	1	0.0865203328
73	1	0.08555474177
74	1	0.08305325166
75	1	0.08173353187
76	1	0.08012032102
77	1	0.07800156602
78	1	0.07609108299
79	1	0.07455909624
80	1	0.07279504468
81	1	0.07156638717
82	1	0.06975075323
83	1	0.06833253214
84	1	0.06683414913
85	1	0.06647559085
86	1	0.06476264953
87	1	0.06331128768
88	1	0.06225669581
89	1	0.06102237381
90	1	0.05993514307
91	1	0.05879997651
92	1	0.05764388362
93	1	0.0563352397
94	1	0.05552153867
95	1	0.05459700005
96	1	0.05347177584
97	1	0.05232492241
98	1	0.05137025711
99	1	0.05055741192
100	1	0.0498335092
101	1	0.04907213505
102	1	0.04821422988
103	1	0.04808314648
104	1	0.0472317484
105	1	0.04640598887
106	1	0.04592973455
107	1	0.04582818343
108	1	0.04505102638
109	1	0.04426242438
110	1	0.04339700816
111	1	0.04309536936
112	1	0.0422976303
113	1	0.04156554492
114	1	0.04097625995
115	1	0.04030605349
116	1	0.03986860435
117	1	0.03912175512
118	1	0.03905798031
119	1	0.03858078828
120	1	0.03805841395
121	1	0.03752850501
122	1	0.03701558535
123	1	0.03695093145
124	1	0.03672427825
125	1	0.0362940434
126	1	0.03590160406
127	1	0.03583379138
128	1	0.03514094446
129	1	0.03500229044
130	1	0.03451841381
131	1	0.03404101628
132	1	0.03350230758
133	1	0.0331060815
134	1	0.03263420542
135	1	0.03225821234
136	1	0.03176578362
137	1	0.03126834106
138	1	0.03123792521
139	1	0.03067734371
140	1	0.03037953449
141	1	0.03024199476
142	1	0.03021126258
143	1	0.02997041341
144	1	0.02942952017
145	1	0.02895358892
146	1	0.02850350627
147	1	0.02817624335
148	1	0.02778605645
149	1	0.02745163764
150	1	0.02713062682
151	1	0.0267331833
152	1	0.02640073566
153	1	0.02611483777
154	1	0.02568105611
155	1	0.02540793818
156	1	0.02507100469
157	1	0.02476273022
158	1	0.02441268346
159	1	0.02409331226
160	1	0.02372912794
161	1	0.02343709947
162	1	0.02315505227
163	1	0.02276246227
164	1	0.02253981742
165	1	0.02231843242
166	1	0.02204162397
167	1	0.02184560515
168	1	0.02157049304
169	1	0.02129744078
170	1	0.02107598171
171	1	0.02083221057
172	1	0.02056860404
173	1	0.02037241165
174	1	0.02018107739
175	1	0.01992894933
176	1	0.0197431208
177	1	0.01957521853
178	1	0.01932070964
179	1	0.01913710483
180	1	0.01898893987
181	1	0.01875998416
182	1	0.01857506862
183	1	0.01839452786
184	1	0.01825659604
185	1	0.01808165779
186	1	0.01791627676
187	1	0.01772224143
188	1	0.01760872834
189	1	0.01744414202
190	1	0.01729508352
191	1	0.01713859111
192	1	0.01696922574
193	1	0.01680931459
194	1	0.01664153877
195	1	0.01648395024
196	1	0.01636285377
197	1	0.0161873087
198	1	0.01607898937
199	1	0.01591583235
200	1	0.01580877774
201	1	0.01561850438
202	1	0.01550943901
203	1	0.01537910516
204	1	0.01523670118
205	1	0.01512688856
206	1	0.01497316585
207	1	0.01482154307
208	1	0.01472395279
209	1	0.01462256264
210	1	0.01450986102
211	1	0.01439355305
212	1	0.01427129831
213	1	0.0141385953
214	1	0.01398266819
215	1	0.01390527703
