iter	Passed	Remaining
0	3	1706
1	5	1446
2	8	1469
3	11	1486
4	14	1457
5	17	1419
6	20	1411
7	22	1383
8	25	1412
9	28	1408
10	31	1382
11	33	1363
12	35	1345
13	38	1329
14	41	1346
15	44	1338
16	46	1332
17	49	1328
18	52	1325
19	54	1316
20	60	1369
21	63	1370
22	65	1361
23	68	1351
24	70	1345
25	74	1355
26	77	1350
27	79	1343
28	82	1335
29	84	1327
30	87	1323
31	90	1328
32	93	1324
33	96	1315
34	98	1307
35	100	1300
36	103	1296
37	106	1299
38	109	1295
39	110	1272
40	113	1269
41	115	1262
42	118	1256
43	121	1257
44	124	1258
45	127	1259
46	130	1253
47	133	1255
48	137	1268
49	141	1271
50	143	1267
51	147	1271
52	150	1273
53	154	1274
54	157	1270
55	159	1265
56	162	1262
57	165	1258
58	169	1264
59	172	1263
60	175	1259
61	177	1256
62	180	1253
63	183	1249
64	186	1250
65	189	1246
66	192	1242
67	195	1241
68	198	1239
69	201	1238
70	204	1233
71	206	1228
72	209	1225
73	211	1219
74	214	1214
75	217	1212
76	219	1207
77	222	1203
78	225	1199
79	227	1196
80	230	1192
81	233	1190
82	236	1187
83	239	1186
84	242	1184
85	244	1179
86	248	1180
87	251	1178
88	254	1176
89	257	1171
90	259	1166
91	262	1164
92	265	1161
93	268	1158
94	270	1154
95	273	1149
96	275	1146
97	278	1143
98	281	1141
99	284	1137
100	287	1133
101	289	1129
102	291	1124
103	294	1121
104	297	1120
105	300	1116
106	302	1112
107	305	1108
108	308	1105
109	310	1101
110	314	1102
111	317	1101
112	320	1099
113	323	1096
114	327	1095
115	329	1092
116	333	1090
117	336	1089
118	339	1087
119	345	1092
120	347	1089
121	350	1086
122	353	1083
123	356	1081
124	360	1080
125	363	1078
126	366	1076
127	369	1073
128	372	1072
129	375	1069
130	379	1068
131	382	1066
132	385	1064
133	388	1061
134	392	1060
135	395	1058
136	398	1054
137	400	1051
138	403	1047
139	406	1046
140	410	1044
141	413	1042
142	416	1040
143	420	1038
144	423	1036
145	426	1034
146	429	1032
147	432	1029
148	435	1026
149	439	1025
150	442	1022
151	447	1023
152	450	1021
153	453	1019
154	458	1020
155	461	1017
156	463	1013
157	466	1009
158	469	1006
159	472	1004
160	475	1001
161	478	998
162	481	995
163	484	991
164	487	989
165	490	986
166	492	982
167	495	979
168	497	974
169	501	972
170	504	970
171	506	966
172	509	963
173	512	959
174	514	955
175	518	955
176	521	952
177	524	949
178	527	945
179	529	942
180	533	940
181	536	937
182	539	933
183	541	930
184	544	927
185	547	923
186	550	920
187	553	919
188	556	916
189	560	914
190	564	912
191	567	910
192	570	906
193	572	903
194	575	899
195	577	896
196	581	894
197	584	891
198	586	887
199	589	883
200	591	880
201	594	876
202	597	874
203	600	871
204	603	868
205	605	864
206	608	861
207	612	859
208	615	857
209	618	854
210	621	851
211	624	847
212	627	846
213	630	842
214	633	839
215	635	835
216	637	831
217	643	831
218	645	828
219	648	825
220	651	822
221	653	818
222	656	815
223	659	812
224	662	809
225	665	806
226	667	803
227	670	799
228	673	796
229	676	794
230	679	791
231	682	788
232	684	784
233	687	781
234	690	778
235	693	775
236	696	772
237	698	769
238	701	766
239	704	762
240	707	760
241	710	757
242	713	754
243	716	751
244	718	748
245	721	745
246	724	742
247	727	739
248	730	736
249	733	733
250	742	736
251	749	737
252	756	738
253	761	737
254	765	735
255	771	735
256	778	736
257	783	735
258	790	735
259	796	735
260	800	733
261	805	732
262	810	730
263	813	726
264	816	723
265	820	721
266	823	718
267	826	715
268	828	711
269	831	708
270	837	708
271	842	705
272	846	703
273	849	700
274	853	698
275	856	695
276	859	691
277	861	688
278	864	684
279	868	682
280	871	679
281	874	675
282	876	672
283	879	669
284	883	666
285	885	662
286	888	659
287	891	656
288	893	652
289	897	649
290	900	646
291	902	643
292	905	639
293	908	636
294	911	633
295	915	630
296	918	627
297	920	624
298	923	620
299	926	617
300	928	614
301	932	611
302	934	607
303	937	604
304	941	601
305	943	598
306	947	595
307	950	592
308	953	589
309	956	586
310	959	582
311	962	580
312	965	577
313	968	573
314	970	570
315	973	566
316	975	563
317	979	560
318	981	557
319	984	553
320	987	550
321	989	547
322	992	543
323	995	540
324	997	537
325	1000	533
326	1002	530
327	1004	526
328	1007	523
329	1010	520
330	1013	517
331	1015	514
332	1018	510
333	1020	507
334	1022	503
335	1025	500
336	1029	497
337	1031	494
338	1034	491
339	1036	487
340	1040	484
341	1042	481
342	1045	478
343	1048	475
344	1050	472
345	1053	469
346	1058	466
347	1061	463
348	1064	460
349	1067	457
350	1070	454
351	1074	451
352	1076	448
353	1079	445
354	1081	441
355	1084	438
356	1089	436
357	1092	433
358	1095	430
359	1099	427
360	1102	424
361	1106	421
362	1109	418
363	1112	415
364	1115	412
365	1117	409
366	1122	406
367	1125	403
368	1127	400
369	1129	396
370	1132	393
371	1135	390
372	1138	387
373	1141	384
374	1143	381
375	1146	377
376	1149	374
377	1152	372
378	1155	368
379	1158	365
380	1160	362
381	1163	359
382	1165	356
383	1168	353
384	1171	350
385	1174	346
386	1177	343
387	1179	340
388	1181	337
389	1184	334
390	1187	331
391	1190	327
392	1192	324
393	1195	321
394	1198	318
395	1202	315
396	1205	312
397	1207	309
398	1210	306
399	1212	303
400	1215	300
401	1218	297
402	1221	293
403	1224	290
404	1226	287
405	1228	284
406	1231	281
407	1234	278
408	1237	275
409	1239	272
410	1242	268
411	1245	265
412	1248	263
413	1251	260
414	1254	256
415	1256	253
416	1259	250
417	1261	247
418	1264	244
419	1268	241
420	1271	238
421	1273	235
422	1276	232
423	1279	229
424	1283	226
425	1285	223
426	1288	220
427	1291	217
428	1294	214
429	1298	211
430	1300	208
431	1303	205
432	1305	202
433	1307	198
434	1309	195
435	1313	192
436	1315	189
437	1318	186
438	1320	183
439	1322	180
440	1325	177
441	1328	174
442	1331	171
443	1334	168
444	1336	165
445	1339	162
446	1341	159
447	1345	156
448	1348	153
449	1350	150
450	1353	147
451	1357	144
452	1361	141
453	1365	138
454	1367	135
455	1370	132
456	1373	129
457	1376	126
458	1379	123
459	1382	120
460	1385	117
461	1388	114
462	1392	111
463	1395	108
464	1398	105
465	1401	102
466	1405	99
467	1409	96
468	1412	93
469	1415	90
470	1418	87
471	1422	84
472	1427	81
473	1430	78
474	1433	75
475	1436	72
476	1440	69
477	1444	66
478	1447	63
479	1450	60
480	1454	57
481	1457	54
482	1460	51
483	1464	48
484	1467	45
485	1471	42
486	1474	39
487	1478	36
488	1482	33
489	1486	30
490	1489	27
491	1493	24
492	1496	21
493	1501	18
494	1505	15
495	1508	12
496	1510	9
497	1513	6
498	1516	3
499	1519	0
